Time	yield SM	yield 1st	yield 2nd	stdev SM	stdev	stdev 2nd
0	100	0	0	0	0	0
1	63.39695	18.42295	0	10.65414	3.50956	0
2.5	29.29648	45.84843	0	3.5285	2.67357	0
4	12.85926	58.60466	0	13.4587	4.42518	0
6	0	67.67313	9.40787	0	5.8884	3.95905
8	0	52.63143	20.74113	0	11.2321	9.90844
12	1.20364	28.52437	35.95873	1.11198	10.9648	7.57499
16	1.89161	25.82416	37.64116	2.01496	11.89269	0.84328
