Time	yield SM	yield 1st	yield 2nd	stdev SM	stdev	stdev 2nd
0	100	0	0	0	0	0
1	76.34325	6.72915	0	7.94348	0.57496	0
3	50.89609	27.40687	0	13.12726	5.85734	0
6	16.68043	49.88426	0	15.14448	10.5983	0
12	0	76.62489	8.29833	0	2.20585	1.48388
18	0	55.02809	23.18583	0	4.72072	5.6408
24	0.1057	45.96348	29.03202	0.18308	7.67883	4.05283
32	2.02026	29.2642	40.58277	0.46873	2.77252	2.15698
